item_id,agenda_item_title,found_data_sheet,application_number,applicant,agent,architect,owner,matched_dev_applications_row,dev_app_street
2024.PH16.4,Implementing a Rental Renovation Licence By-law to Address Renovictions,False,,,,,,False,
2024.PH17.11,Housing Accelerator Fund: Expanding Permissions in Neighbourhoods for Six Units and Four Storeys - Preliminary Report,False,,,,,,False,
2024.PH17.2,Expanding Housing Options in Neighbourhoods - Neighbourhood Retail and Services Study Phase Two Final Report,False,,,,,,False,
2024.PH17.5,Establishing a Framework to Address Excessive Indoor Temperatures in Leased Residential Premises,False,,,,,,False,
2024.PH17.6,Exempting Dwelling Rooms in a Multi-tenant House from Parkland Dedication and Clarifications to Exemptions in Article III of Chapter 415 - Development of Land,False,,,,,,False,
2024.PH17.7,Relaunch of the Home Ownership Assistance Program to Support New Non-Profit Affordable and Attainable Home Ownership Housing,False,,,,,,False,
2024.PH9.1,"Ready, Set, Midtown: Zoning Review - City Initiated Zoning By-law Amendments for Select Lands Designated Apartment Neighbourhoods - Decision Report - Approval",False,,,,,,False,
2024.PH9.12,"78, 80 and 86 Mimico Avenue - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",False,,,,,,False,
2024.PH9.14,Fraternities should not be exempt from the Multi-Tenant Housing Bylaw,False,,,,,,False,
2024.SC10.5,54-62 Glen Everest Road - Rental Housing Demolition Application - Decision Report - Approval,False,,,,,,False,
2024.SC15.1,3291 Kingston Road and 2 and 4 Windy Ridge Drive - Rental Housing Demolition Application - Decision Report - Approval,False,,,,,,False,
2024.TE12.5,171-175 Lowther Avenue - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,True,23 223597 STE 11 OZ,WND Associates,Andrew Ferancik,Gabriel Fain,"Jordan Reznick, Yona Reznick and Shauna Lee Reznick.",True,171 LOWTHER AVE
2024.TE13.6,1095 and 1111 Danforth Avenue - Zoning By-law Amendment Application - Decision Report - Approval,True,22 114259 STE 14 OZ,MHBC PLANNING LTD,,,1095-1111 DANFORTH PROJEST GP INC,True,1095 DANFORTH AVE
2024.TE13.7,1117 Danforth Avenue - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval,True,24 120936 STE 14 OZ,MHBC Planning,David McKay,Studio JCI,Houselink and Mainstay Community Housing,True,1117 DANFORTH AVE
2024.TE13.8,1400 Gerrard Street East - Zoning By-law Amendment Application - Decision Report - Approval,True,22 140740 STE 14 OZ,MIKE DROR,BOUSFIELDS,BRANDER ARCHITECTS,GERRARD WOODFIELD HOLDINGS INC,True,1400 GERRARD ST
2024.TE14.16,135 Roxborough Drive - Alterations to a Designated Heritage Property in the North Rosedale Heritage Conservation District,False,,,,,,False,
2024.TE15.10,400 Broadview Avenue - Official Plan and Zoning By-law Amendment - Decision Report - Approval,True,24 135519 STE 14 OZ,BOUSFIELDS INC.,BOUSFIELDS INC.,DSAI,SINAI HEALTH,True,400 BROADVIEW AVE
2024.TE16.5,214-230 Sherbourne Street - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,True,22 204780 STE 13 OZ,1000197547 Ontario Inc.,1000197547 Ontario Inc,Hariri Pontarini Architects,1000197547 Ontario Inc.,True,214 SHERBOURNE ST
2024.TE17.8,"985 Woodbine Avenue and 2078, 2086, 2100, 2102 and 2106 Danforth Avenue - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval",True,19 122810 STE 19 OZ,2132397 ONTARIO LIMITED,BOUSFIELDS INC.,SUPERKUL,CP REIT ONTARIO PROPERTIES LIMITED,True,985 WOODBINE AVE
2025.CC32.11,Expanding Housing Options in Neighbourhoods: Major Streets Study - Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
2025.CC32.20,"220, 230 and 240 Lake Promenade and 21 and 31 Park Boulevard - Ontario Land Tribunal Hearing - Request for Directions",False,,,,,,False,
2025.CC33.22,2 Whitney Avenue (135 Glen Road) - Application to Erect a Structure in the North Rosedale Heritage Conservation District - Refusal,False,,,,,,False,
2025.CC34.4,2 Tippett Road - Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
2025.DM35.1,847-855 Kingston Road - Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
2025.EY23.1,3406-3434 Weston Road - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,True,24 151539 WET 07 OZ,"Bousfields Inc. 3 Church Street, Suite 200, Toronto, ON, M5E 1M2",,"ICON Architects 813-4789 Younge Street, Toronto, ON, M2N 0G3","Pinemount Developments 1 Whitehorse Road, Unit 16-18, Toronto, ON, M3J 3G8",True,3406-3434 WESTON RD
2025.EY26.2,1138 Islington Avenue - Zoning By-law Amendment Application - Decision Report - Approval,True,22 205614 WET 03 OZ,MHBC Planning,Batory,Project Studio Architects,Maria Jones,True,1138 ISLINGTON AVE
2025.EY26.4,3418 Lake Shore Boulevard West and 0 Skeens Lane - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval,True,24 211777 WET 03 OZ,Weston Consulting,Weston Consulting,SRN Architects Inc.,Eden Oak Homes Inc.,True,0 SKEENS LANE
2025.EY26.5,5280 Dundas Street West - Zoning By-law Amendment Application - Decision Report - Approval,True,24 235116 WET 03 OZ,"Marlin Realty Limited 2300 Yonge Street, 5th Floor, Suite 500 Toronto, Ontario M4P 1E4","Kian Manesh Marlin Realty Limited 2300 Yonge Street, 5th Floor, Suite 500 Toronto, Ontario M4P 1E4","Jahan Mehr Architects 5000 Yonge St, Suite 1901 Toronto, Ontario, M2N 7E9","5280 Dundas Developments Limited 2300 Yonge Street, 5th Floor, Suite 500 Toronto, Ontario M4P 1E4",True,5280 DUNDAS ST
2025.MM32.44,"250 Wincott Drive - Request for City Solicitor to Attend at the Ontario Land Tribunal - by Councillor Stephen Holyday, seconded by Councillor Parthi Kandavel",False,,,,,,False,
2025.MM35.12,"199 College Street Community Benefits Charge, College Streetscape - by Councillor Dianne Saxe, seconded by Councillor Jamaal Myers",False,,,,,,False,
2025.NY21.2,"104 - 114 Finch Avenue East - Official Plan Amendment, Zoning By-law Amendment, Applications - Decision Report - Approval",True,24 171445 NNY 18 OZ,Joe Tang Regency Property Inc.,,Mar Architect Inc.,Zhuyun Wang,True,104 FINCH AVE
