item_id,agenda_item_title,linked_via,link_confidence,side,beneficiary_context
2026.SC28.1,1212 to 1238 Kingston Road - Zoning By-law Amendment - Decision Report - Approval,address,street_type_matched,developer,The Sud Group; The Sud Group
2026.SC31.1,3307 and 3313 Ellesmere Road - Official Plan Amendment and Zoning By-law Amendment - Decision Report - Approval,identity+address,org_key_merge,developer,1001184476 Ontario Inc.
2026.SC31.3,"1710 and 1712 Ellesmere Road - Official Plan Amendment, Zoning By-law Amendment and Draft Plan of Subdivision Applications - Decision Report - Approval",identity+address,org_key_merge,developer,TRIDEL
2026.SC32.1,"5, 7, 9 and 11 Bellamy Road South - Zoning By-law Amendment Application - Decision Report - Approval",identity+address,org_key_merge,developer,Profile developments
2026.SC32.2,468 to 480 Danforth Road and 509 Birchmount Road - Zoning By-law Amendment Application - Decision Report - Approval,identity,org_key_merge,developer,Altree Developments
2026.SC33.1,1911 and 1921 Eglinton Avenue East - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval,identity+address,org_key_merge,developer,KLM Planning Partners Inc.
2026.SC33.12,60 Guildwood Parkway - Official Plan and Zoning By-law Amendment - Decision Report - Approval,identity+address,org_key_merge,developer,Extendicare (Canada) Inc.
2026.SC33.2,"3310, 3312 and 3314 Kingston Road - Zoning By-law Amendment - Decision Report - Approval",identity+address,org_key_merge,developer,The Planning Partnership Limited
2026.TE28.12,353-355 Sherbourne Street and 157 Carlton Street - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,identity,org_key_merge,developer,KPMB Architects
2026.TE29.12,"1684, 1698, 1700 and 1702 Queen Street East - Official Plan and Zoning By-law Amendment - Decision Report - Approval",identity+address,org_key_merge,developer,Bousfields Inc.; Queen Kingston Holdings Inc.
2026.TE32.10,"17-19, 23 and 25 Toronto Street and 55 and 57 Adelaide Street East - Zoning By-law Amendment Application - Decision Report - Approval",address,street_type_matched,developer,; Goband Investment Ltd
2026.TE32.11,"17-19, 23 and 25 Toronto Street and 55 Adelaide Street East - Alterations to Heritage Properties, Demolition of a Building within the St. Lawrence Neighbourhood Heritage Conservation District, Approval of a Replacement Building and Authority to Enter into a Heritage Easement Agreement",address,street_type_matched,developer,; Goband Investment Ltd
2026.TE32.12,"954, 956 and 958 Broadview Avenue and 72 Chester Hill Road - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval",identity+address,org_key_merge,developer,graziani + corazza architects
2026.TE32.5,1233 Yonge Street and 9 Woodlawn Avenue East - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,identity+address,org_key_merge,developer,Bousfields Inc.
2026.TE32.6,1233 Yonge Street and 9 Woodlawn Avenue East - Rental Housing Demolition Application - Decision Report - Approval,address,street_type_matched,developer,; 1233Y Development Limited Partnership; Coriam Capital Management Corporation; Calmco Inc; 1233Y Development Limited Partnership; Coriam Capital Management Corporation; Calmco Inc; Plazacorp; 
2026.TE34.12,1497 and 1501 Queen Street West and 89 and 91 Beaty Avenue - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,identity,org_key_merge,developer,DTAH
